Image,Cluster
/Users/kater/HauntedImages_8000/haunted_8473.png,1
/Users/kater/HauntedImages_8000/haunted_8474.png,1
/Users/kater/HauntedImages_8000/haunted_8475.png,2
/Users/kater/HauntedImages_8000/haunted_8476.png,0
/Users/kater/HauntedImages_8000/haunted_8477.png,2
/Users/kater/HauntedImages_8000/haunted_8478.png,1
/Users/kater/HauntedImages_8000/haunted_8479.png,0
/Users/kater/HauntedImages_8000/haunted_8480.png,2
/Users/kater/HauntedImages_8000/haunted_8481.png,2
/Users/kater/HauntedImages_8000/haunted_8482.png,2
/Users/kater/HauntedImages_8000/haunted_8483.png,0
/Users/kater/HauntedImages_8000/haunted_8484.png,0
/Users/kater/HauntedImages_8000/haunted_8485.png,0
/Users/kater/HauntedImages_8000/haunted_8486.png,0
/Users/kater/HauntedImages_8000/haunted_8487.png,0
/Users/kater/HauntedImages_8000/haunted_8488.png,2
/Users/kater/HauntedImages_8000/haunted_8489.png,2
/Users/kater/HauntedImages_8000/haunted_8490.png,2
/Users/kater/HauntedImages_8000/haunted_8491.png,0
/Users/kater/HauntedImages_8000/haunted_8492.png,1
/Users/kater/HauntedImages_8000/haunted_8493.png,0
/Users/kater/HauntedImages_8000/haunted_8494.png,0
/Users/kater/HauntedImages_8000/haunted_8495.png,0
/Users/kater/HauntedImages_8000/haunted_8496.png,1
/Users/kater/HauntedImages_8000/haunted_8498.png,2
/Users/kater/HauntedImages_8000/haunted_8499.png,2
/Users/kater/HauntedImages_8000/haunted_8500.png,2
/Users/kater/HauntedImages_8000/haunted_8501.png,1
/Users/kater/HauntedImages_8000/haunted_8502.png,2
/Users/kater/HauntedImages_8000/haunted_8503.png,2
/Users/kater/HauntedImages_8000/haunted_8504.png,0
/Users/kater/HauntedImages_8000/haunted_8505.png,1
/Users/kater/HauntedImages_8000/haunted_8506.png,0
/Users/kater/HauntedImages_8000/haunted_8507.png,2
/Users/kater/HauntedImages_8000/haunted_8508.png,0
/Users/kater/HauntedImages_8000/haunted_8509.png,2
/Users/kater/HauntedImages_8000/haunted_8510.png,2
/Users/kater/HauntedImages_8000/haunted_8511.png,2
/Users/kater/HauntedImages_8000/haunted_8512.png,2
/Users/kater/HauntedImages_8000/haunted_8513.png,0
/Users/kater/HauntedImages_8000/haunted_8514.png,2
/Users/kater/HauntedImages_8000/haunted_8515.png,0
/Users/kater/HauntedImages_8000/haunted_8516.png,2
/Users/kater/HauntedImages_8000/haunted_8517.png,0
/Users/kater/HauntedImages_8000/haunted_8518.png,0
/Users/kater/HauntedImages_8000/haunted_8519.png,2
/Users/kater/HauntedImages_8000/haunted_8520.png,0
/Users/kater/HauntedImages_8000/haunted_8521.png,1
/Users/kater/HauntedImages_8000/haunted_8522.png,0
